,Vítimas,,Feridos,,Feridos,,Total de,
,mortais,,graves,,leves,,vítimas,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
2ª feira,52,64,152,165,3800,4081,4004,4310
3ª feira,62,41,174,147,3778,3560,4014,3748
4ª feira,45,55,156,177,3932,3860,4133,4092
5ª feira,44,51,154,148,3813,3861,4011,4060
6ª feira,55,62,219,175,4325,4202,4599,4439
Sábado,78,82,250,205,3675,3478,4003,3765
Domingo,62,80,228,216,3159,3139,3449,3435
TOTAL,398,435,1333,1233,26482,26181,28213,27849
