,,,,,,,,
,FERIDOS LEVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=14,15,14,122,99,0,0,137,113
15-19,354,326,1169,1146,0,1,1523,1473
20-24,1064,1060,1910,2054,1,0,2975,3114
25-29,1012,1036,1805,1864,0,0,2817,2900
30-34,953,921,1574,1575,0,0,2527,2496
35-39,953,953,1616,1577,0,0,2569,2530
40-44,1044,978,1779,1613,0,0,2823,2591
45-49,899,924,1545,1494,1,0,2445,2418
50-54,755,774,1294,1276,0,0,2049,2050
55-59,579,635,1202,1156,0,0,1781,1791
60-64,434,442,989,941,0,0,1423,1383
65-69,276,288,825,789,0,0,1101,1077
70-74,183,195,707,682,0,0,890,877
>=75,149,162,1264,1204,0,0,1413,1366
N.D.,2,1,3,1,4,0,9,2
TOTAL,8672,8709,17804,17471,6,1,26482,26181
