,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,
00-03,1197,1269,40,54,97,123,1555,1581,1692,1758,"3,3","4,3"
03-06,800,764,30,27,84,74,937,939,1051,1040,"3,8","3,5"
06-09,3898,3863,82,93,239,216,4638,4563,4959,4872,"2,1","2,4"
09-12,5750,5580,73,94,272,255,6848,6603,7193,6952,"1,3","1,7"
12-15,5967,6004,88,98,314,294,7283,7181,7685,7573,"1,5","1,6"
15-18,7130,6971,105,119,456,424,8774,8691,9335,9234,"1,5","1,7"
18-21,6904,6887,117,134,434,387,8366,8249,8917,8770,"1,7","1,9"
21-24,2770,2897,67,56,221,222,3375,3528,3663,3806,"2,4","1,9"
TOTAL,34416,34235,602,675,2117,1995,41776,41335,44495,44005,"1,7","2,0"
