,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
1996,2.177.743,"68,49",1.002.009,"31,51",3.179.752
,,,,,
1997,2.272.246,"67,42",1.098.198,"32,58",3.370.444
,,,,,
1998,2.361.682,"66,51",1.189.018,"33,49",3.550.700
,,,,,
1999,2.539.881,"66,01",1.308.117,"33,99",3.847.998
,,,,,
2000,2.718.597,"65,40",1.438.338,"34,60",4.156.935
,,,,,
