"REGIÃO DO
ALGARVE",Mortos,,,Feridos graves,,Feridos leves,,
,,,,,,,,
,1999,2000,00/99,1999,00/99,1999,2000,00/99
,,,,,,,,
Faro,114,119,5,345,7,3421,3413,-8
,,,,,,,,
