TIPO DE INFRACÇÃO,,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,8143,
,Excesso de velocidade,5186,
,Ultrapassagem proibida (pela direita / s/ verificar se outro veículo iniciou a ultrapassagem),1435,
,Infracção relativa à iluminação e utilização de luzes,786,
,Paragem ou estacionamento proibido,527,
,Marcha atrás em auto-estrada,303,
,Sub-total,16380,
Infracções Graves,,,
,Excesso de velocidade,67399,
,Desrespeito da obrigação de parar,22575,
,Transpor linha longitudinal contínua (Marca MI) delimitadora dos sentidos de trânsito,21484,
,Desrespeito dos sinais de proibição (sentido proibido e proibição de virar),8754,
,Condução com excesso de álcool no sangue,6968,
,Ultrapassagem proibida (s/ verificar perigo de colisão pela direita),3781,
,Sub-total,130961,
Infracções Leves,,,
,Paragem ou estacionamento proibido,196053,
,Excesso de velocidade,68177,
,Não utilização do cinto de segurança pelo condutor ou pelo passageiro,49757,
,Condução de veículo sem documentos legalmente exigidos,39741,
,Não sujeição a inspecção periódica no prazo legal,23069,
,Utilização de luzes de nevoeiro s/ que as condições meteorológicas o justifiquem,19009,
,Sub-total,395806,
