Distrito de Évora,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
,,"143,250",,,0,,,
EN4,"143,050",,5,10,,1,8,34
,,Total,,,0,,,
,,,5,10,,1,8,
,,,,,,,,
Distrito de Portalegre,,,,,,,,
,,,,,,,,
,,"82,000",,,0,,,
EN246,"81,800",,5,7,,1,7,31
,,"152,700",,,0,,,
IP2,"152,500",,5,8,,2,12,56
,,Total,,,0,,,
,,,10,15,,3,19,
