,,Mortos,,,Feridos graves,,,Feridos leves,,
,,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
"REGIÃO
DO
ALENTEJO",REGIÃO,154,138,-16,574,479,-95,2747,2415,-332
,DO,,,,,,,,,
,ALENTEJO,,,,,,,,,
Beja,Beja,64,62,-2,166,157,-9,1004,889,-115
Évora,Évora,52,52,0,244,227,-17,1080,1001,-79
Portalegre,Portalegre,38,24,-14,164,95,-69,663,525,-138
