,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,871,916,882,848,983,1099,1101,1138,1007,1057,1008,918,11828
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,79,95,100,75,95,99,118,112,96,105,93,80,1147
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,,,,,,,,,,,,,
,,23,33,37,19,20,27,34,35,28,38,32,22,348
,,,,,,,,,,,,,,
NORTE,Mortos,,,,,,,,,,,,,
,,26,35,37,19,24,29,38,37,31,42,37,22,377
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,63,78,83,75,84,87,110,101,76,91,73,72,993
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,1115,1130,1164,1203,1285,1446,1515,1542,1301,1334,1297,1199,15531
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,239,229,233,256,224,299,283,302,264,272,258,225,3084
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,24,30,27,18,25,33,31,22,30,26,24,23,313
,,,,,,,,,,,,,,
Braga,Acid.com mortos,,,,,,,,,,,,,
,,10,10,9,3,6,4,10,5,7,5,10,6,85
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,12,11,9,3,6,4,11,5,7,5,10,6,89
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,16,26,24,20,22,33,27,24,25,23,16,20,276
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,310,268,314,386,301,409,391,441,335,359,315,299,4128
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,22,28,32,26,19,31,41,47,38,40,39,32,395
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,2,7,8,3,4,7,15,18,6,11,17,8,106
,,,,,,,,,,,,,,
Bragança,Acid.com mortos,,,,,,,,,,,,,
,,0,2,4,1,2,2,1,4,2,5,4,4,31
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,0,2,4,1,2,3,1,5,4,5,9,4,40
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,2,5,5,2,2,8,15,16,7,11,16,6,95
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,24,30,34,45,25,34,36,44,42,50,50,42,456
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,503,560,506,461,625,635,619,584,575,614,590,549,6821
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,37,42,48,39,51,43,49,41,43,51,40,37,521
,,,,,,,,,,,,,,
Porto,Acid.com mortos,,,,,,,,,,,,,
,,8,17,17,15,9,17,13,16,12,17,12,9,162
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,9,18,17,15,12,18,13,17,12,20,12,9,172
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,32,32,41,31,45,32,46,30,31,46,34,33,433
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,638,715,675,617,825,812,877,777,760,760,761,707,8924
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,59,59,81,70,75,80,93,126,89,81,75,71,959
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,9,8,9,11,7,9,10,15,10,8,5,6,107
,,,,,,,,,,,,,,
V.Castelo,Acid.com mortos,,,,,,,,,,,,,
,,2,1,3,0,2,3,5,6,4,6,4,1,37
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,2,1,3,0,3,3,7,6,4,6,4,1,40
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,9,7,8,18,7,7,9,15,9,4,2,5,100
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,73,67,104,106,94,100,124,157,119,100,100,99,1243
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,48,40,30,35,40,54,65,79,41,50,46,41,569
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,7,8,8,4,8,7,13,16,7,9,7,6,100
,,,,,,,,,,,,,,
V.Real,Acid.com mortos,,,,,,,,,,,,,
,,3,3,4,0,1,1,5,4,3,5,2,2,33
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,3,3,4,0,1,1,6,4,4,6,2,2,36
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,4,8,5,4,8,7,13,16,4,7,5,8,89
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,70,50,37,49,40,91,87,123,45,65,71,52,780
,,,,,,,,,,,,,,
