,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,946,880,903,779,932,1067,1239,1176,1072,1047,949,958,11948
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,118,142,133,133,153,154,172,177,157,125,144,123,1731
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,,,,,,,,,,,,,
,,30,41,45,38,33,27,49,42,46,36,30,20,437
,,,,,,,,,,,,,,
CENTRO,Mortos,,,,,,,,,,,,,
,,36,45,49,44,35,29,55,54,51,40,36,21,495
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,110,139,114,139,148,156,167,204,140,117,148,125,1707
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,1110,1043,1059,972,1117,1311,1554,1566,1306,1266,1135,1158,14597
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,308,275,288,236,306,313,385,333,351,348,311,309,3763
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,27,37,44,37,53,36,44,51,34,52,47,43,505
,,,,,,,,,,,,,,
Aveiro,Acid.com mortos,,,,,,,,,,,,,
,,6,9,13,9,10,4,8,13,6,15,6,6,105
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,9,9,14,9,11,6,9,21,7,18,8,7,128
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,23,30,41,37,48,39,53,57,33,44,49,41,495
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,350,307,339,272,329,388,477,396,439,412,346,362,4417
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,62,51,54,53,54,62,58,61,71,56,56,46,684
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,13,12,7,13,12,7,17,17,15,10,13,7,143
,,,,,,,,,,,,,,
Castelo,Acid.com mortos,,,,,,,,,,,,,
,,6,5,0,6,2,2,5,6,8,3,3,2,48
,,,,,,,,,,,,,,
Branco,Mortos,,,,,,,,,,,,,
,,6,6,0,7,2,2,6,6,8,4,3,2,52
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,10,10,7,15,13,5,18,26,8,7,15,8,142
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,81,65,65,63,63,79,65,91,94,57,84,72,879
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,197,186,203,155,192,232,254,271,217,217,180,197,2501
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,23,18,25,18,19,16,24,31,21,18,12,21,246
,,,,,,,,,,,,,,
Coimbra,Acid.com mortos,,,,,,,,,,,,,
,,9,4,8,6,7,4,6,7,8,7,2,7,75
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,11,4,9,6,7,4,7,10,8,7,2,7,82
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,24,16,21,15,14,13,20,37,15,20,10,20,225
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,226,246,245,199,249,282,326,360,271,286,230,232,3152
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,51,37,39,25,58,53,73,83,53,58,63,49,642
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,7,6,6,5,18,15,16,15,15,5,10,4,122
,,,,,,,,,,,,,,
Guarda,Acid.com mortos,,,,,,,,,,,,,
,,0,2,4,0,4,3,9,4,7,1,1,0,35
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,0,2,4,0,4,3,9,4,7,1,1,0,35
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,9,9,4,5,22,18,10,14,8,7,9,5,120
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,64,49,47,40,75,58,81,96,61,74,77,65,787
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,229,247,233,221,241,301,340,330,270,246,220,255,3133
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,33,49,39,43,37,66,52,55,49,25,40,36,524
,,,,,,,,,,,,,,
Leiria,Acid.com mortos,,,,,,,,,,,,,
,,5,13,11,11,7,9,13,11,11,3,9,3,106
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,6,15,13,16,8,9,16,12,15,3,11,3,127
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,31,53,36,46,36,68,52,59,54,28,43,36,542
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,266,265,256,276,309,349,421,466,293,280,251,296,3728
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,,,,,,,,
,,99,84,86,89,81,106,129,98,110,122,119,102,1225
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,,,,,,,,,,,,,
,,15,20,12,17,14,14,19,8,23,15,22,12,191
,,,,,,,,,,,,,,
Viseu,Acid.com mortos,,,,,,,,,,,,,
,,4,8,9,6,3,5,8,1,6,7,9,2,68
,,,,,,,,,,,,,,
,Mortos,,,,,,,,,,,,,
,,4,9,9,6,3,5,8,1,6,7,11,2,71
,,,,,,,,,,,,,,
,F.Graves,,,,,,,,,,,,,
,,13,21,5,21,15,13,14,11,22,11,22,15,183
,,,,,,,,,,,,,,
,F.Leves,,,,,,,,,,,,,
,,123,111,107,122,92,155,184,157,148,157,147,131,1634
,,,,,,,,,,,,,,
