,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
Até 24 anos,380.160,"57,45",281.543,"42,55",
,,,,,661.703
,,,,,
25-44 anos,1.148.921,"58,72",807.738,"41,28",
,,,,,1.956.659
,,,,,
45-64 anos,835.489,"74,00",293.559,"26,00",
,,,,,1.129.048
,,,,,
65-74 anos,249.271,"84,74",44.900,"15,26",
,,,,,294.171
,,,,,
> 75 anos,104.756,"90,81",10.598,"9,19",
,,,,,115.354
,,,,,
Total,2.718.597,"65,40",1.438.338,"34,60",
,,,,,4.156.935
,,,,,
