,,,,,,,Feridos graves,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,,,,Feridos leves,,
,,,,,,,,,,,,
,,,,,,,1999,,,,,
,1999,2000,00/99,1999,2000,00/99,,2000,00/99,1999,2000,00/99
,,,,,,,,,,,,
,,,,,,,4090,,,,,
Colisão,28312,25802,-2510,811,741,-70,,3584,-506,36762,33566,-3196
Dentro Localidade,20241,18124,-2117,331,249,-82,2500,2081,-419,25162,22689,-2473
Fora Localidade,8071,7678,-393,480,492,12,1590,1503,-87,11600,10877,-723
,,,,,,,2086,,,,,
Despiste,11507,10801,-706,591,568,-23,,1985,-101,13650,12767,-883
Dentro Localidade,5530,5061,-469,195,177,-18,949,876,-73,6348,5802,-546
Fora Localidade,5977,5740,-237,396,391,-5,1137,1109,-28,7302,6965,-337
,,,,,,,1521,,,,,
Atropelamento,8147,7556,-591,348,320,-28,,1349,-172,7218,6673,-545
Dentro Localidade,7357,6857,-500,233,208,-25,1355,1206,-149,6581,6121,-460
Fora Localidade,790,699,-91,115,112,-3,166,143,-23,637,552,-85
,,,,,,,7697,,,,,
Total,47966,44159,-3807,1750,1629,-121,,6918,-779,57630,53006,-4624
Dentro Localidade,33128,30042,-3086,759,634,-125,4804,4163,-641,38091,34612,-3479
Fora Localidade,14838,14117,-721,991,995,4,2893,2755,-138,19539,18394,-1145
