,,Travões,,Luzes,Suspensão,Ruído,,
,,,Direcção,,,,,Outras
,,,,,,,,
,,,,,,,,
,Ligeiros,"24,0","10,1","15,1","22,5","12,7",,"15,6"
,,,,,,,,
,Pesados,"33,3","7,0","20,4","14,3","4,6",,"20,4"
,,,,,,,,
,Reboques e Semi-Reb.,"50,5","0,0","19,4","22,9","2,1",,"5,1"
,,,,,,,,
Total,,"25,2",,"15,6","21,7","11,8",,
,,,"9,7",,,,,"15,3"
,,,,,,,,
