Distrito do Porto,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,"292,750","292,900",12,27,0,1,12,46
EN101,"129,300","129,500",6,11,0,0,9,27
EN105,"13,900","14,050",5,5,1,0,11,133
EN105,"25,750","25,900",6,12,0,0,13,39
EN105,"26,700","26,800",6,12,0,0,11,33
EN105,"29,800","30,000",5,10,0,0,14,42
EN106,"34,000","34,100",5,10,0,0,8,24
EN106-3,"3,400","3,600",5,11,1,4,5,155
EN107,"6,900","7,000",8,17,0,1,14,52
EN109,"5,700","5,900",6,16,1,2,6,138
EN109,"6,000","6,200",5,9,0,0,7,21
EN109,"6,550","6,750",8,15,0,1,15,55
EN109,"7,500","7,700",6,11,0,0,8,24
EN109,"9,300","9,400",6,12,0,0,7,21
EN13,"9,200","9,300",5,9,0,0,9,27
EN13,"12,000","12,200",6,12,0,1,7,31
EN13,"15,600","15,800",5,8,0,1,8,34
EN15,"11,820","12,000",7,13,1,1,8,134
EN15,"12,400","12,580",5,11,0,1,7,31
EN15,"36,600","36,800",5,10,0,0,7,21
EN15,"37,560","37,700",5,11,1,0,6,118
EN15,"42,100","42,300",5,8,0,2,3,29
EN15,"57,140","57,300",5,9,1,0,4,112
EN15,"61,800","62,000",5,7,0,0,7,21
EN15,"62,100","62,300",5,9,0,1,4,22
EN205,"3,000","3,200",6,10,0,1,9,37
EN205,"4,800","5,000",6,11,0,0,8,24
EN207,"40,300","40,500",5,10,0,0,8,24
EN209,"25,900","26,020",6,11,0,1,5,25
A3 (1),"2,525","2,625",6,12,0,0,15,45
A3 (2),"3,600","3,775",5,10,0,0,8,24
A4 (1),"11,200","11,250",6,16,0,0,10,30
A4 (1),"11,600","11,800",6,17,0,0,9,27
IC1,"2,300","2,500",6,14,0,0,9,27
IC1,"2,700","2,900",8,17,0,0,13,39
IC1,"3,500","3,700",5,9,1,0,5,115
IC1,"299,900","300,100",5,10,0,1,6,28
IC1,"342,800","343,000",5,5,2,1,4,222
IP4,"72,500","72,700",5,8,2,0,6,218
,,,,,,,,
,,Total,227,445,11,20,325,
(1) Sentido decrescente da quilometragem,,,,,,,,
(2) Sentido crescente da quilometragem,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
