REGIÃO DO ALGARVE,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,197,181,229,210,235,273,380,325,288,258,185,212,2973
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,23,20,28,25,31,34,50,40,41,36,26,38,392
,,,,,,,,,,,,,,
Faro,Acid.com mortos,6,8,10,7,4,8,15,13,13,8,7,8,107
,,,,,,,,,,,,,,
,Mortos,6,9,11,9,4,8,20,14,14,8,7,9,119
,,,,,,,,,,,,,,
,F.Graves,21,13,23,21,31,33,43,37,33,36,25,36,352
,,,,,,,,,,,,,,
,F.Leves,230,195,277,261,273,308,439,382,337,281,202,228,3413
,,,,,,,,,,,,,,
