,Mortos,,,Feridos graves,,,Feridos leves,,,"Índice
de
Gravidade",
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000
"REGIÃO
NORTE",444,377,-67,1049,993,-56,16776,15531,-1245,"3,5","3,2"
Braga,108,89,-19,283,276,-7,4306,4128,-178,"3,3","2,9"
Bragança,25,40,15,98,95,-3,504,456,-48,"5,8","10,1"
Porto,204,172,-32,460,433,-27,9556,8924,-632,"2,8","2,5"
V. Castelo,65,40,-25,102,100,-2,1472,1243,-229,"5,7","4,2"
V. Real,42,36,-6,106,89,-17,938,780,-158,"6,0","6,3"
