,Mortos,,,Feridos graves,,,Feridos leves,,,"Índice
de
Gravidade",
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000
"REGIÃO
CENTRO",523,495,-28,1831,1707,-124,15982,14597,-1385,"4,5","4,1"
Aveiro,122,128,6,553,495,-58,4824,4417,-407,"3,3","3,4"
C. Branco,62,52,-10,179,142,-37,906,879,-27,"6,5","7,6"
Coimbra,88,82,-6,206,225,19,3310,3152,-158,"4,0","3,0"
Guarda,42,35,-7,112,120,8,855,787,-68,"9,1","5,5"
Leiria,128,127,-1,575,542,-33,3928,3728,-200,"4,1","4,1"
Viseu,81,71,-10,206,183,-23,2159,1634,-525,"6,6","5,8"
