,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
"00-03
03-06
06-09
09-12
12-15
15-18
18-21
21-24","38
40
53
61
78
111
114
57","102
81
145
167
214
304
289
155","1218
788
3192
4162
4520
5013
4812
2280","1358
909
3390
4390
4812
5428
5215
2492"
Total,552,1457,25985,27994
