,Feminino,Masculino,Total(1),População*,"Total cond./
1000 hab."
"<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","19
472
1900
2286
2419
2185
1779
1477
1094
745
484
303
160
152
7","180
1761
4332
4513
4733
4434
3777
3535
3085
2646
2211
1680
1438
1651
77","200
2234
6234
6805
7161
6621
5559
5018
4180
3393
2695
1983
1598
1805
1581","1520178
525908
568615
674461
777242
799878
745224
743003
690090
640055
590541
513174
468023
887208
-","0
4
11
10
9
8
7
7
6
5
5
4
3
2
-"
Total,15482,40053,57067,10143600,6
