,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
"Segunda
Terça
Quarta
Quinta
Sexta
Sábado
Domingo","65
69
57
77
77
105
102","205
192
177
190
178
261
254","3926
3684
3714
3499
4182
3640
3340","4196
3945
3948
3766
4437
4006
3696"
Total,552,1457,25985,27994
