,Feminino,Masculino,Total(1)
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","46
0
1
7
6
6
9
3
5
2
3
1
2
1
0
0","506
1
9
35
52
57
44
40
38
47
32
27
35
36
53
0","552
1
10
42
58
63
53
43
43
49
35
28
37
37
53
0"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","212
1
13
31
29
23
29
21
17
19
12
7
4
2
4
0","1245
11
79
152
156
140
136
106
99
81
54
62
52
53
64
0","1457
12
92
183
185
163
165
127
116
100
66
69
56
55
68
0"
