,"Vítimas mortais
(M)","Feridos graves
(FG)",Feridos leves,"Total de vítimas
(V)","M e FG por 100
vítimas em 2010",
,,,,,M/V,FG/V
"Condutores
Passageiros
Peões","552
190
195","1457
590
428","25985
12564
5341","27994
13344
5964","2
1
3","5
4
7"
Total,937,2475,43890,47302,2,5
