,Vítimas mortais,,,,,,,,,,,,
,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
Peões,4,3,4,4,10,6,9,15,11,12,9,107,195
"Veículo
Ligeiro*",10,19,51,47,55,38,33,30,33,25,22,100,463
"Veículo
Pesado*",0,0,0,1,0,2,3,1,3,2,0,2,14
Velocípede**,0,1,0,0,0,5,0,4,2,0,6,15,33
Ciclomotor*,1,3,0,2,5,8,4,6,11,10,4,23,77
Motociclo*,1,3,14,26,27,11,13,10,12,1,1,7,126
Total (2),18,29,70,82,97,70,63,69,72,53,43,270,937
