,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
"Com capacete/cinto segurança
Sem capacete/cinto segurança
Isentos
Não definidos","429
49
63
11","1254
68
102
33","23821
199
1307
658","25504
316
1472
702"
Total,552,1457,25985,27994
