,Feminino,Masculino,Total(1)
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","8785
17
312
1176
1336
1349
1143
969
784
613
454
272
168
101
89
2","17177
156
1080
1992
1999
2073
1802
1507
1332
1168
1020
830
668
692
853
5","25985
173
1393
3169
3336
3424
2947
2478
2116
1781
1475
1102
836
793
943
19"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","9043
18
326
1214
1371
1378
1181
993
806
634
469
280
174
104
93
2","18928
168
1168
2179
2207
2270
1982
1653
1469
1296
1106
919
755
781
970
5","27994
186
1495
3394
3579
3650
3165
2648
2275
1930
1576
1199
929
885
1064
19"
