,Feridos leves,,,,,,,,,,,,
,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
Peões,898,440,295,217,217,302,246,287,340,350,340,1404,5341
"Veículo
Ligeiro*",1826,1927,3974,3495,3269,2727,2400,2064,1855,1595,1270,3018,29521
"Veículo
Pesado*",21,47,52,65,75,88,76,89,81,58,35,75,767
Velocípede**,159,151,80,68,92,95,78,70,53,65,45,162,1121
Ciclomotor*,59,377,214,194,232,288,296,316,293,253,211,694,3431
Motociclo*,33,361,421,554,611,482,314,221,152,84,70,107,3413
Total (2),3012,3324,5049,4608,4520,4003,3432,3071,2793,2430,1990,5535,43890
