,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","16
17
10
10
17
12
20
27
11
22
12
16","34
39
23
38
50
48
86
83
58
45
42
44","882
848
934
946
995
980
1198
1460
1031
1177
999
1114","932
904
967
994
1062
1040
1304
1570
1100
1244
1053
1174"
Total,190,590,12564,13344
