,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
"Segunda
Terça
Quarta
Quinta
Sexta
Sábado
Domingo","29
24
18
11
26
39
43","86
67
63
54
79
109
132","1714
1513
1473
1476
1783
2069
2536","1829
1604
1554
1541
1888
2217
2711"
Total,190,590,12564,13344
