,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
"Abertura de porta
Ausência de luzes quando obrigatórias
Circulação afastada berma ou passeio
Desrespeito da sinalização semafórica
Desrespeito da sinalização vertical
Desrespeito distâncias de segurança
Desrespeito das marcas rodoviárias
Encandeamento
Falha mecânica do veículo
Manobra irregular
Não definida
Não identificada
Não sinalização da manobra
Obstáculo imprevisto faixa de rodagem
Queda de carga ou objecto
Rebentamento de pneumático
Veloc. exc. para condições existentes","0
2
4
1
18
2
3
0
1
25
14
384
1
4
0
4
89","2
3
10
2
40
14
16
6
4
50
45
1050
3
11
0
8
193","16
12
70
84
706
360
124
160
104
712
1090
18759
34
431
7
125
3191","18
17
84
87
764
376
143
166
109
787
1149
20193
38
446
7
137
3473"
Total,552,1457,25985,27994
