Quadro 6.10 Condutores vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
AE,38,27,34,0.2592592592592593,94,96,98,0.02083333333333326,1926,1363,1665,0.22157006603081442,2058,1486,1797,0.20928667563930015
Arruamento,143,132,147,0.11363636363636354,721,642,687,0.07009345794392519,17576,14794,16096,0.08800865215627951,18440,15568,16930,0.08748715313463507
EM,29,30,30,0,111,105,108,0.02857142857142847,1130,935,1044,0.11657754010695198,1270,1070,1182,0.1046728971962616
EN,118,118,118,0,385,427,424,-0.007025761124121788,5612,4787,5517,0.15249634426571967,6115,5332,6059,0.13634658664666177
ER,3,7,4,-0.4285714285714286,22,47,45,-0.04255319148936165,310,365,373,0.021917808219177992,335,419,422,0.007159904534606243
IC,18,21,29,0.38095238095238093,50,46,54,0.17391304347826098,868,621,778,0.2528180354267311,936,688,861,0.2514534883720929
IP,14,6,7,0.16666666666666674,14,9,17,0.8888888888888888,226,170,215,0.2647058823529411,254,185,239,0.2918918918918918
Outras vias*,40,37,35,-0.05405405405405406,118,119,105,-0.11764705882352944,1228,1384,1361,-0.016618497109826547,1386,1540,1501,-0.025324675324675305
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
