Quadro 3.5 Vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
<=14,15,14,12,-0.1428571428571429,91,81,78,-0.03703703703703709,2435,1672,1984,0.1866028708133971,2541,1767,2074,0.1737408036219581
15_19,24,24,25,0.04166666666666674,133,151,138,-0.08609271523178808,3336,2554,2893,0.1327329678935003,3493,2729,3056,0.11982411139611582
20_24,58,36,48,0.33333333333333326,219,237,243,0.025316455696202445,5039,4223,4508,0.06748756807956435,5316,4496,4799,0.06739323843416378
25_29,46,39,50,0.28205128205128216,218,218,212,-0.02752293577981646,4156,3598,3924,0.0906058921623123,4420,3855,4186,0.08586251621271068
30_34,38,32,32,0,192,201,190,-0.05472636815920395,3616,3045,3288,0.0798029556650246,3846,3278,3510,0.0707748627211715
35_39,47,42,39,-0.0714285714285714,199,160,160,0,3389,2754,2976,0.08061002178649246,3635,2956,3175,0.0740866035182679
40_44,42,32,43,0.34375,219,165,192,0.16363636363636358,3718,2839,3122,0.09968298696724198,3979,3036,3357,0.10573122529644263
45_49,54,46,57,0.23913043478260865,161,179,210,0.17318435754189943,3479,2906,3306,0.13764624913971102,3694,3131,3573,0.141168955605238
50_54,37,42,43,0.023809523809523725,163,168,187,0.11309523809523814,3148,2691,2969,0.10330732069862503,3348,2901,3199,0.10272319889693216
55_59,35,47,43,-0.08510638297872342,151,151,142,-0.05960264900662249,3049,2351,2691,0.14461931093151859,3235,2549,2876,0.12828560219694007
60_64,47,46,56,0.21739130434782616,145,116,141,0.21551724137931028,2506,1975,2225,0.12658227848101267,2698,2137,2422,0.13336452971455315
65_69,60,27,37,0.37037037037037046,147,82,121,0.47560975609756095,1999,1533,1878,0.2250489236790607,2206,1642,2036,0.2399512789281364
70_74,59,35,49,0.3999999999999999,122,94,107,0.13829787234042556,1816,1382,1584,0.14616497829233,1997,1511,1740,0.1515552614162805
>=75,125,99,84,-0.1515151515151515,217,158,181,0.14556962025316467,3207,2326,2761,0.1870163370593294,3549,2583,3026,0.17150600077429345
n.d.,1,0,0,-,6,0,0,-,41,4,5,0.25,48,4,5,0.25
Total,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662,48005,38575,43034,0.11559300064808808
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
