Quadro 4.13 Peões vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
<=14,3,4,3,-0.25,37,30,32,0.06666666666666665,594,446,503,0.12780269058295968,634,480,538,0.12083333333333335
15_19,2,0,2,-,17,16,11,-0.3125,414,261,334,0.27969348659003823,433,277,347,0.25270758122743686
20_24,4,1,3,2,23,14,22,0.5714285714285714,340,206,277,0.34466019417475735,367,221,302,0.36651583710407243
25_29,3,4,4,0,15,10,11,0.10000000000000009,232,156,236,0.5128205128205128,250,170,251,0.4764705882352942
30_34,1,5,2,-0.6,10,13,8,-0.3846153846153846,214,162,200,0.23456790123456783,225,180,210,0.16666666666666674
35_39,3,1,4,3,11,12,10,-0.16666666666666663,220,156,198,0.26923076923076916,234,169,212,0.2544378698224852
40_44,1,4,5,0.25,30,16,15,-0.0625,282,173,208,0.20231213872832376,313,193,228,0.18134715025906734
45_49,11,5,5,0,22,17,24,0.41176470588235303,308,232,254,0.09482758620689657,341,254,283,0.11417322834645671
50_54,5,10,10,0,32,20,32,0.6000000000000001,362,253,303,0.19762845849802368,399,283,345,0.21908127208480566
55_59,10,7,5,-0.2857142857142857,35,27,33,0.22222222222222232,412,275,313,0.13818181818181818,457,309,351,0.13592233009708732
60_64,15,8,16,1,34,25,26,0.040000000000000036,395,274,333,0.21532846715328469,444,307,375,0.22149837133550498
65_69,20,7,8,0.1428571428571428,44,22,32,0.4545454545454546,346,251,330,0.31474103585657365,410,280,370,0.3214285714285714
70_74,20,12,8,-0.33333333333333337,57,25,36,0.43999999999999995,406,299,305,0.02006688963210701,483,336,349,0.038690476190476275
>=75,41,32,32,0,83,59,58,-0.016949152542372836,866,573,695,0.21291448516579403,990,664,785,0.18222891566265065
n.d.,1,0,0,-,0,0,0,-,0,0,3,-,1,0,3,-
Total,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
