Quadro 4.5 Peões vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
[00:00-03:00[,7,7,2,-0.7142857142857143,7,9,7,-0.2222222222222222,84,49,76,0.5510204081632653,98,65,85,0.3076923076923077
[03:00-06:00[,2,0,7,-,8,3,10,2.3333333333333335,36,16,36,1.25,46,19,53,1.789473684210526
[06:00-09:00[,7,10,19,0.8999999999999999,54,32,39,0.21875,561,407,462,0.1351351351351351,622,449,520,0.15812917594654796
[09:00-12:00[,21,13,15,0.15384615384615374,68,51,56,0.0980392156862746,969,795,844,0.06163522012578615,1058,859,915,0.06519208381839348
[12:00-15:00[,14,16,9,-0.4375,63,39,51,0.3076923076923077,893,641,711,0.109204368174727,970,696,771,0.10775862068965525
[15:00-18:00[,29,24,15,-0.375,77,81,67,-0.1728395061728395,1148,830,1021,0.23012048192771095,1254,935,1103,0.17967914438502675
[18:00-21:00[,45,26,31,0.1923076923076923,129,69,92,0.33333333333333326,1357,782,1056,0.3503836317135549,1531,877,1179,0.34435575826681863
[21:00-00:00[,15,4,9,1.25,44,22,28,0.2727272727272727,343,197,286,0.4517766497461928,402,223,323,0.44843049327354256
Total,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
