Quadro 2.1 Veículos intervenientes em acidentes com vítimas em Portugal por categoria e natureza do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Categoria veículo e natureza ,,Atropelamento ,,,,Colisão,,,,Despiste,,,,Total,,,
,,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Veículo Ligeiro,Passageiros ,3999,2818,3342,0.18594748048261178,26869,21077,23300,0.10547041799117518,6460,5472,6244,0.14108187134502925,37328,29367,32886,0.11982837879252228
,Mercadorias ,822,551,671,0.21778584392014522,5528,4522,4691,0.03737284387439188,1376,1100,1182,0.07454545454545447,7726,6173,6544,0.0601004373886278
,Outros ,35,30,30,0,322,267,260,-0.02621722846441943,94,79,73,-0.07594936708860756,451,376,363,-0.034574468085106336
,n.d. ,108,88,94,0.06818181818181812,39,27,30,0.11111111111111116,13,7,6,-0.1428571428571429,160,122,130,0.06557377049180335
,Total ,4964,3487,4137,0.18640665328362482,32758,25893,28281,0.09222569806511416,7943,6658,7505,0.12721537999399213,45665,36038,39923,0.1078028747433264
Veículo Pesado ,Passageiros ,104,53,69,0.3018867924528301,364,288,359,0.24652777777777768,26,18,27,0.5,494,359,455,0.2674094707520891
,Mercadorias ,50,25,38,0.52,590,473,476,0.00634249471458781,131,109,113,0.03669724770642202,771,607,627,0.03294892915980241
,Outros ,21,16,20,0.25,314,305,331,0.08524590163934431,75,69,76,0.10144927536231885,410,390,427,0.09487179487179498
,n.d. ,3,0,0,-,1,3,2,-0.33333333333333337,0,0,1,-,4,3,3,0
,Total ,178,94,127,0.35106382978723394,1269,1069,1168,0.09260991580916755,232,196,217,0.1071428571428572,1679,1359,1512,0.11258278145695355
Ciclomotor,,73,32,40,0.25,1399,1024,1034,0.009765625,1034,889,825,-0.07199100112485934,2506,1945,1899,-0.023650385604113144
Motociclo cilindrada <= 125cc,,136,124,150,0.20967741935483875,2694,2587,2930,0.13258600695786615,1621,1559,1788,0.1468890314304041,4451,4270,4868,0.1400468384074942
Motociclo cilindrada > 125cc,,93,67,84,0.25373134328358216,1898,1728,1971,0.140625,1096,1099,1232,0.12101910828025475,3087,2894,3287,0.13579820317899105
Velocípede,,139,117,155,0.32478632478632474,1612,1892,1986,0.04968287526427062,680,828,933,0.12681159420289845,2431,2837,3074,0.08353894959464214
Quadriciclo,,15,11,24,1.1818181818181817,125,122,132,0.08196721311475419,207,151,155,0.026490066225165476,347,284,311,0.09507042253521125
Triciclo,,10,0,9,-,23,10,26,1.6,14,13,10,-0.23076923076923073,47,23,45,0.9565217391304348
Veículo agrícola,,10,9,6,-0.33333333333333337,113,96,83,-0.13541666666666663,93,103,89,-0.13592233009708743,216,208,178,-0.14423076923076927
Outros*,,123,97,113,0.1649484536082475,193,200,202,0.010000000000000009,27,30,22,-0.2666666666666667,343,327,337,0.030581039755351647
Total ,,5741,4038,4845,0.19985141158989594,42084,34621,37813,0.09219837670777853,12947,11526,12776,0.10845045982994961,60772,50185,55434,0.10459300587825049
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
