Quadro 5.5 Passageiros vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
[00:00-03:00[,9,9,12,0.33333333333333326,40,37,26,-0.29729729729729726,512,391,425,0.08695652173913038,561,437,463,0.059496567505720854
[03:00-06:00[,8,5,12,1.4,27,25,34,0.3600000000000001,295,198,262,0.3232323232323233,330,228,308,0.3508771929824561
[06:00-09:00[,10,6,20,2.3333333333333335,35,46,43,-0.06521739130434778,1042,733,827,0.1282401091405183,1087,785,890,0.13375796178343946
[09:00-12:00[,15,15,11,-0.2666666666666667,35,37,42,0.1351351351351351,1424,1080,1135,0.05092592592592582,1474,1132,1188,0.04946996466431086
[12:00-15:00[,14,13,17,0.3076923076923077,54,29,51,0.7586206896551724,1809,1266,1434,0.1327014218009479,1877,1308,1502,0.14831804281345562
[15:00-18:00[,31,13,20,0.5384615384615385,87,80,89,0.11250000000000004,2509,1772,1907,0.07618510158013536,2627,1865,2016,0.08096514745308303
[18:00-21:00[,45,11,9,-0.18181818181818177,78,76,88,0.1578947368421053,2091,1539,1769,0.14944769330734253,2214,1626,1866,0.14760147601476015
[21:00-00:00[,13,11,6,-0.4545454545454546,62,34,41,0.2058823529411764,985,738,814,0.102981029810298,1060,783,861,0.09961685823754785
Total,145,83,107,0.28915662650602414,418,364,414,0.13736263736263732,10667,7717,8573,0.11092393417131019,11230,8164,9094,0.11391474767270937
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
