Quadro 4.4 Peões vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Segunda-Feira,27,17,16,-0.05882352941176472,61,40,35,-0.125,813,570,737,0.2929824561403509,901,627,788,0.25677830940988833
Terça-Feira,24,16,19,0.1875,72,53,63,0.18867924528301883,843,632,666,0.053797468354430444,939,701,748,0.06704707560627665
Quarta-Feira,13,16,8,-0.5,62,51,58,0.13725490196078427,867,607,759,0.25041186161449747,942,674,825,0.22403560830860525
Quinta-Feira,20,18,12,-0.33333333333333337,75,46,50,0.08695652173913038,907,583,700,0.20068610634648376,1002,647,762,0.17774343122102
Sexta-Feira,28,12,22,0.8333333333333333,76,52,67,0.28846153846153855,935,673,749,0.11292719167904908,1039,737,838,0.13704206241519667
Sábado,16,14,18,0.2857142857142858,63,40,43,0.07499999999999996,604,363,484,0.33333333333333326,683,417,545,0.3069544364508394
Domingo,12,7,12,0.7142857142857142,41,24,34,0.41666666666666674,422,289,397,0.37370242214532867,475,320,443,0.3843749999999999
Total,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
