Quadro 5.7 Passageiros vítimas em Portugal por luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Dia,101,52,66,0.26923076923076916,242,213,245,0.1502347417840375,7258,5474,5945,0.08604311289733291,7601,5739,6256,0.09008538072834993
Noite,42,29,31,0.06896551724137923,161,127,137,0.07874015748031504,2923,1955,2303,0.1780051150895141,3126,2111,2471,0.17053529133112266
Aurora/Crepúsculo,2,2,10,4,14,24,32,0.33333333333333326,479,288,325,0.12847222222222232,495,314,367,0.16878980891719753
n.d.,0,0,0,-,1,0,0,-,7,0,0,-,8,0,0,-
Total,145,83,107,0.28915662650602414,418,364,414,0.13736263736263732,10667,7717,8573,0.11092393417131019,11230,8164,9094,0.11391474767270937
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
