Quadro 6.17 Condutores vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
<=14,1,3,0,-1,9,18,7,-0.6111111111111112,144,184,142,-0.2282608695652174,154,205,149,-0.2731707317073171
15_19,13,14,10,-0.2857142857142857,66,99,78,-0.21212121212121215,1759,1460,1656,0.13424657534246576,1838,1573,1744,0.10870947234583594
20_24,40,24,29,0.20833333333333326,138,163,173,0.06134969325153383,3459,2988,3193,0.06860776439089689,3637,3175,3395,0.06929133858267722
25_29,35,32,37,0.15625,169,172,160,-0.06976744186046513,3073,2759,3002,0.08807538963392525,3277,2963,3199,0.07964900438744515
30_34,30,20,27,0.3500000000000001,155,149,146,-0.020134228187919434,2789,2374,2543,0.0711878685762426,2974,2543,2716,0.06802988596146275
35_39,41,34,29,-0.1470588235294118,163,128,121,-0.0546875,2662,2185,2355,0.0778032036613272,2866,2347,2505,0.0673199829569664
40_44,37,26,33,0.26923076923076916,160,130,153,0.17692307692307696,2843,2217,2459,0.10915651781686964,3040,2373,2645,0.114622840286557
45_49,37,38,45,0.18421052631578938,122,138,170,0.2318840579710144,2612,2223,2552,0.14799820062977953,2771,2399,2767,0.153397248853689
50_54,26,28,28,0,109,118,141,0.19491525423728806,2234,2020,2225,0.10148514851485158,2369,2166,2394,0.10526315789473695
55_59,20,39,34,-0.1282051282051282,99,110,88,-0.19999999999999996,2021,1659,1897,0.14345991561181437,2140,1808,2019,0.11670353982300874
60_64,21,35,37,0.05714285714285716,95,81,91,0.1234567901234569,1564,1340,1461,0.09029850746268653,1680,1456,1589,0.09134615384615374
65_69,28,16,24,0.5,73,59,70,0.18644067796610164,1163,984,1180,0.19918699186991873,1264,1059,1274,0.20302171860245521
70_74,28,20,30,0.5,54,56,54,-0.0357142857142857,990,785,900,0.14649681528662417,1072,861,984,0.1428571428571428
>=75,45,49,41,-0.16326530612244894,97,70,86,0.22857142857142865,1523,1237,1482,0.19805982215036377,1665,1356,1609,0.18657817109144537
n.d.,1,0,0,-,6,0,0,-,40,4,2,-0.5,47,4,2,-0.5
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
