Quadro 5.4 Passageiros vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Segunda-Feira,13,9,15,0.6666666666666667,34,37,41,0.10810810810810811,1377,988,1114,0.12753036437246967,1424,1034,1170,0.1315280464216635
Terça-Feira,14,7,6,-0.1428571428571429,53,40,52,0.30000000000000004,1384,1055,1092,0.035071090047393394,1451,1102,1150,0.04355716878402904
Quarta-Feira,44,6,10,0.6666666666666667,53,33,39,0.18181818181818188,1355,931,1124,0.20730397422126745,1452,970,1173,0.20927835051546384
Quinta-Feira,8,11,5,-0.5454545454545454,42,49,45,-0.08163265306122447,1376,996,1071,0.07530120481927716,1426,1056,1121,0.061553030303030276
Sexta-Feira,15,16,19,0.1875,56,49,59,0.20408163265306123,1490,1147,1273,0.1098517872711422,1561,1212,1351,0.11468646864686471
Sábado,21,14,18,0.2857142857142858,79,77,85,0.10389610389610393,1803,1243,1447,0.16411906677393406,1903,1334,1550,0.16191904047976013
Domingo,30,20,34,0.7,101,79,93,0.17721518987341778,1882,1357,1452,0.07000736919675754,2013,1456,1579,0.0844780219780219
Total,145,83,107,0.28915662650602414,418,364,414,0.13736263736263732,10667,7717,8573,0.11092393417131019,11230,8164,9094,0.11391474767270937
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
