Quadro 4.3 Peões vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Jan,19,7,9,0.2857142857142858,45,24,26,0.08333333333333326,513,254,351,0.38188976377952755,577,285,386,0.3543859649122807
Fev,9,5,6,0.19999999999999996,34,10,24,1.4,390,139,312,1.2446043165467624,433,154,342,1.220779220779221
Mar,13,11,4,-0.6363636363636364,52,19,21,0.10526315789473695,475,214,360,0.6822429906542056,540,244,385,0.5778688524590163
Abr,8,9,9,0,22,21,17,-0.19047619047619047,352,242,322,0.3305785123966942,382,272,348,0.27941176470588225
Mai,7,5,7,0.3999999999999999,35,28,27,-0.0357142857142857,466,298,368,0.2348993288590604,508,331,402,0.21450151057401823
Jun,10,7,4,-0.4285714285714286,38,26,22,-0.15384615384615385,373,297,305,0.026936026936027035,421,330,331,0.003030303030302939
Jul,7,8,7,-0.125,26,29,37,0.27586206896551735,386,287,386,0.3449477351916377,419,324,430,0.3271604938271604
Ago,13,9,13,0.4444444444444444,41,17,36,1.1176470588235294,368,289,332,0.1487889273356402,422,315,381,0.20952380952380945
Set,8,9,9,0,51,28,31,0.1071428571428572,403,354,414,0.1694915254237288,462,391,454,0.16112531969309463
Out,16,12,11,-0.08333333333333337,35,34,36,0.05882352941176472,512,429,394,-0.0815850815850816,563,475,441,-0.07157894736842108
Nov,13,13,15,0.15384615384615374,42,41,36,-0.12195121951219512,581,490,486,-0.008163265306122436,636,544,537,-0.012867647058823484
Dez,17,5,13,1.6,29,29,37,0.27586206896551735,572,424,462,0.08962264150943389,618,458,512,0.11790393013100431
Total,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
