Quadro 1.8 Sinistralidade em Portugal por localização do acidente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Localização,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Dentro das localidades,29438,24466,26893,0.09919888825308587,394,332,333,0.003012048192771122,1559,1415,1490,0.053003533568904526,34669,28043,30727,0.096
Fora das localidades,7813,6225,7383,0.18602409638554218,294,229,285,0.2445414847161571,824,746,812,0.0884718498659518,10265,7810,9387,0.202
Total,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
