Quadro 6.8 Condutores vítimas em Portugal por natureza do acidente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Natureza,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Atropelamento,2,0,1,-,9,8,11,0.375,267,238,264,0.10924369747899165,278,246,276,0.12195121951219523
Colisão,202,185,212,0.145945945945946,809,778,771,-0.00899742930591263,18293,15232,16641,0.09250262605042026,19304,16195,17624,0.08823711021920344
Despiste,199,193,191,-0.010362694300518172,697,705,756,0.07234042553191489,10316,8949,10144,0.13353447312548883,11212,9847,11091,0.12633289326698494
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
