Quadro 2.3 Veículos intervenientes em acidentes com vítimas em Portugal por NUTSI e categoria de veículo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NUTS I e categoria de veículo ,Veículos intervenientes ,,,,,,,,,,,,,,,,,,
,2019,2021,2022,2022 (%) ,∆(%) 22/21 ,∆(%) 22/19,,,,,,,,,,,,,
Continente,58300,47796,53046,1,0.10984182776801399,-0.0901200686106346,,,,,,,,,,,,,
Veículo ligeiro,43934,34426,38290,0.7218263394035366,0.1122407482716552,-0.1284654254108435,,,,,,,,,,,,,
Veículo pesado,1620,1294,1453,0.027391320740489385,0.12287480680061824,-0.10308641975308641,,,,,,,,,,,,,
Ciclomotor,2378,1834,1797,0.03387625834181654,-0.020174482006543037,-0.244322960470984,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,4155,3959,4536,0.0855106888361045,0.14574387471583727,0.09169675090252705,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,2946,2736,3139,0.05917505561211024,0.14729532163742687,0.06551255940257983,,,,,,,,,,,,,
Velocípede,2344,2756,2995,0.05646043056969423,0.0867198838896952,0.27773037542662116,,,,,,,,,,,,,
Quadriciclo,326,251,291,0.005485804773215699,0.1593625498007969,-0.1073619631901841,,,,,,,,,,,,,
Triciclo,47,22,43,0.0008106172001658938,0.9545454545454546,-0.08510638297872342,,,,,,,,,,,,,
Veículo agrícola,212,194,167,0.0031482109866907966,-0.1391752577319587,-0.21226415094339623,,,,,,,,,,,,,
Outros*,338,324,335,0.006315273536176149,0.033950617283950546,-0.00887573964497046,,,,,,,,,,,,,
Açores,961,964,962,1,-0.0020746887966804906,0.0010405827263266776,,,,,,,,,,,,,
Veículo ligeiro,719,696,711,0.739085239085239,0.02155172413793105,-0.011126564673157202,,,,,,,,,,,,,
Veículo pesado,15,23,15,0.015592515592515593,-0.34782608695652173,0,,,,,,,,,,,,,
Ciclomotor,78,70,72,0.07484407484407485,0.02857142857142847,-0.07692307692307687,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,56,69,62,0.06444906444906445,-0.10144927536231885,0.1071428571428572,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,32,35,38,0.0395010395010395,0.08571428571428563,0.1875,,,,,,,,,,,,,
Velocípede,44,32,34,0.035343035343035345,0.0625,-0.2272727272727273,,,,,,,,,,,,,
Quadriciclo,11,21,16,0.016632016632016633,-0.23809523809523814,0.4545454545454546,,,,,,,,,,,,,
Triciclo,0,1,1,0.0010395010395010396,0,-,,,,,,,,,,,,,
Veículo agrícola,4,14,11,0.011434511434511435,-0.2142857142857143,1.75,,,,,,,,,,,,,
Outros*,2,3,2,0.002079002079002079,-0.33333333333333337,0,,,,,,,,,,,,,
Madeira,1511,1425,1426,1,0.00070175438596487,-0.05625413633355392,,,,,,,,,,,,,
Veículo ligeiro,1012,916,922,0.6465638148667602,0.0065502183406114245,-0.08893280632411071,,,,,,,,,,,,,
Veículo pesado,44,42,44,0.030855539971949508,0.04761904761904767,0,,,,,,,,,,,,,
Ciclomotor,50,41,30,0.021037868162692847,-0.2682926829268293,-0.4,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,240,242,270,0.18934081346423562,0.11570247933884303,0.125,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,109,123,110,0.07713884992987377,-0.10569105691056913,0.00917431192660545,,,,,,,,,,,,,
Velocípede,43,49,45,0.03155680224403927,-0.08163265306122447,0.04651162790697683,,,,,,,,,,,,,
Quadriciclo,10,12,4,0.002805049088359046,-0.6666666666666667,-0.6,,,,,,,,,,,,,
Triciclo,0,0,1,0.0007012622720897616, - , -,,,,,,,,,,,,,
Veículo agrícola,0,0,0,0,-,-,,,,,,,,,,,,,
Outros*,3,0,0,0, - ,-1,,,,,,,,,,,,,
Portugal,60772,50185,55434,-,0.105,-0.088,,,,,,,,,,,,,
