Quadro 5.12 Passageiros vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
<=14,10,7,9,0.2857142857142858,45,33,39,0.18181818181818188,1697,1042,1339,0.2850287907869482,1752,1082,1387,0.28188539741219953
15_19,9,10,13,0.30000000000000004,50,36,49,0.36111111111111116,1163,833,903,0.08403361344537807,1222,879,965,0.09783845278725822
20_24,14,11,16,0.4545454545454546,58,60,48,-0.19999999999999996,1240,1029,1038,0.008746355685131268,1312,1100,1102,0.0018181818181817189
25_29,8,8,8,0,34,36,41,0.13888888888888884,851,683,686,0.004392386530014614,893,727,735,0.011004126547455195
30_34,7,7,3,-0.5714285714285714,27,39,36,-0.07692307692307687,613,509,545,0.07072691552062871,647,555,584,0.05225225225225216
35_39,3,7,6,-0.1428571428571429,25,20,29,0.44999999999999996,507,413,423,0.02421307506053272,535,440,458,0.040909090909091006
40_44,4,2,5,1.5,29,19,24,0.26315789473684204,593,449,455,0.013363028953229383,626,470,484,0.029787234042553123
45_49,6,3,7,1.3333333333333335,17,24,16,-0.33333333333333337,559,451,500,0.10864745011086474,582,478,523,0.09414225941422605
50_54,6,4,5,0.25,22,30,14,-0.5333333333333333,552,418,441,0.055023923444976086,580,452,460,0.017699115044247815
55_59,5,1,4,3,17,14,21,0.5,616,417,481,0.1534772182254196,638,432,506,0.17129629629629628
60_64,11,3,3,0,16,10,24,1.4,547,361,431,0.19390581717451516,574,374,458,0.22459893048128343
65_69,12,4,5,0.25,30,1,19,18,490,298,368,0.2348993288590604,532,303,392,0.2937293729372936
70_74,11,3,11,2.6666666666666665,11,13,17,0.3076923076923077,420,298,379,0.27181208053691286,442,314,407,0.29617834394904463
>=75,39,18,11,-0.38888888888888884,37,29,37,0.27586206896551735,818,516,584,0.13178294573643412,894,563,632,0.12255772646536411
n.d.,0,0,0,-,0,0,0,-,1,0,0,-,1,0,0,-
Total,145,88,106,0.20454545454545459,418,364,414,0.13736263736263732,10667,7717,8573,0.11092393417131019,11230,8169,9093,0.11311053984575836
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
