Quadro 6.11 Condutores vítimas em Portugal por distrito e RA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e RA,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Aveiro,34,29,26,-0.10344827586206895,80,116,109,-0.06034482758620685,2356,2055,2264,0.10170316301703153,2470,2200,2399,0.09045454545454557
Beja,22,13,10,-0.23076923076923073,39,52,42,-0.1923076923076923,345,285,348,0.2210526315789474,406,350,400,0.1428571428571428
Braga,29,26,27,0.03846153846153855,95,113,95,-0.15929203539823011,2591,2345,2472,0.05415778251599157,2715,2484,2594,0.044283413848631215
Bragança,7,11,9,-0.18181818181818177,24,29,26,-0.10344827586206895,308,236,287,0.21610169491525433,339,276,322,0.16666666666666674
C. Branco,7,6,6,0,44,47,32,-0.3191489361702128,391,350,409,0.1685714285714286,442,403,447,0.10918114143920588
Coimbra,25,16,28,0.75,53,59,60,0.016949152542372836,1353,1197,1399,0.16875522138680044,1431,1272,1487,0.1690251572327044
Évora,9,10,14,0.3999999999999999,45,42,37,-0.11904761904761907,341,294,321,0.09183673469387754,395,346,372,0.07514450867052025
Faro,29,23,27,0.17391304347826098,152,117,116,-0.008547008547008517,1664,1287,1592,0.236985236985237,1845,1427,1735,0.21583742116327964
Guarda,15,9,8,-0.11111111111111116,34,22,34,0.5454545454545454,323,289,338,0.16955017301038056,372,320,380,0.1875
Leiria,26,36,32,-0.11111111111111116,83,101,85,-0.15841584158415845,1476,1183,1321,0.11665257819103969,1585,1320,1438,0.08939393939393936
Lisboa,40,52,46,-0.11538461538461542,200,175,179,0.02285714285714291,6115,4773,5167,0.08254766394301272,6355,5000,5392,0.07840000000000003
Portalegre,15,6,11,0.8333333333333333,34,38,41,0.07894736842105265,234,188,209,0.11170212765957444,283,232,261,0.125
Porto,35,36,28,-0.2222222222222222,135,90,150,0.6666666666666667,4791,4045,4461,0.1028430160692213,4961,4171,4639,0.11220330855909855
Santarém,27,18,22,0.22222222222222232,146,127,146,0.14960629921259838,1293,1072,1151,0.07369402985074625,1466,1217,1319,0.0838126540673787
Setúbal,22,30,39,0.30000000000000004,109,109,129,0.1834862385321101,1908,1741,1879,0.07926479035037337,2039,1880,2047,0.08882978723404245
V. Castelo,8,15,12,-0.19999999999999996,34,55,47,-0.1454545454545455,694,570,687,0.20526315789473681,736,640,746,0.1656249999999999
Vila Real,8,8,16,1,28,28,33,0.1785714285714286,520,447,551,0.23266219239373598,556,483,600,0.2422360248447204
Viseu,25,14,20,0.4285714285714286,56,54,56,0.03703703703703698,1051,947,1096,0.15733896515311518,1132,1015,1172,0.15467980295566508
RA Açores,10,12,13,0.08333333333333326,59,57,68,0.1929824561403508,429,448,428,-0.044642857142857095,498,517,509,-0.015473887814313358
RA Madeira,10,8,10,0.25,65,60,53,-0.1166666666666667,693,667,669,0.0029985007496251548,768,735,732,-0.004081632653061273
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
