"Quadro 3.6 Vítimas mortais em Portugal por milhão de habitantes, segundo o grupo etário",,,,,,,,,,,
,,,,,,,,,,,
Grupo etário,População (2021),VM,VM/milhão habitantes de Portugal,,,,,,,,
,,,,,,,,,,,
<=14,1351011,12,8.882237080231027,,,,,,,,
15-19,522558,25,47.84157930794285,,,,,,,,
20-24,560887,48,85.57873511063727,,,,,,,,
25-29,548850,50,91.0995718320124,,,,,,,,
30-34,571761,32,55.96744094123243,,,,,,,,
35-39,619921,39,62.91124191630869,,,,,,,,
40-44,726617,43,59.17835668584688,,,,,,,,
45-49,816388,57,69.81974257338423,,,,,,,,
50-54,766346,43,56.1104253170239,,,,,,,,
55-59,749280,43,57.38842622250694,,,,,,,,
60-64,725825,56,77.1535838528571,,,,,,,,
65-69,668438,37,55.352927272237665,,,,,,,,
70-74,617816,49,79.31163971149986,,,,,,,,
>=75,1221668,84,68.75845155967087,,,,,,,,
Total,10467366,618,59.040641169898905,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
