Quadro 6.5 Condutores vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
[00:00-03:00[,27,19,30,0.5789473684210527,108,84,86,0.023809523809523725,1060,782,966,0.23529411764705888,1195,885,1082,0.22259887005649714
[03:00-06:00[,16,13,20,0.5384615384615385,64,50,75,0.5,606,425,641,0.5082352941176471,686,488,736,0.5081967213114753
[06:00-09:00[,40,30,45,0.5,136,86,173,1.0116279069767442,3372,2771,3112,0.12306026705160589,3548,2887,3330,0.1534464842396952
[09:00-12:00[,47,51,56,0.0980392156862746,191,203,176,-0.13300492610837433,4705,4009,4315,0.07632826141182347,4943,4263,4547,0.06661975134881537
[12:00-15:00[,50,59,62,0.05084745762711873,209,226,218,-0.03539823008849563,5267,4646,5039,0.08458889367197586,5526,4931,5319,0.0786858649361184
[15:00-18:00[,82,85,77,-0.09411764705882353,300,311,324,0.04180064308681675,5904,5094,5570,0.09344326658814284,6286,5490,5971,0.08761384335154832
[18:00-21:00[,91,70,75,0.0714285714285714,327,367,323,-0.11989100817438691,5523,4708,5185,0.10131690739167376,5941,5145,5583,0.08513119533527691
[21:00-00:00[,50,51,39,-0.23529411764705888,180,164,163,-0.0060975609756097615,2439,1984,2221,0.11945564516129026,2669,2199,2423,0.10186448385629832
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
