Quadro 1.7 Sinistralidade em Portugal por natureza detalhada do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Natureza,,AcV,,,,VM,,,,FG,,,,FL,,,
,,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Atropelamento,Atropelamento com fuga,495,382,511,0.337696335078534,11,6,13,1.1666666666666665,36,29,28,-0.03448275862068961,468,364,491,0.348901098901099
,Atropelamento de animais,71,107,126,0.17757009345794383,1,0,1,-,0,4,5,0.25,75,114,133,0.16666666666666674
,Atropelamento de peões,4999,3416,4045,0.1841334894613582,122,90,91,0.011111111111111072,391,265,313,0.18113207547169807,4970,3358,3973,0.18314472900536027
,Total,5565,3905,4682,0.1989756722151088,134,96,105,0.09375,427,298,346,0.1610738255033557,5513,3836,4597,0.1983837330552658
Colisão,Colisão choque em cadeia,723,548,594,0.08394160583941601,6,6,3,-0.5,14,11,4,-0.6363636363636364,1174,830,923,0.11204819277108435
,Colisão com fuga,631,588,641,0.09013605442176864,3,5,2,-0.6,30,43,37,-0.13953488372093026,739,662,709,0.07099697885196377
,Colisão com outras situações,3269,2340,2252,-0.037606837606837584,33,20,21,0.050000000000000044,136,117,95,-0.18803418803418803,4214,2858,2750,-0.03778866340097975
,Colisão com veiculo ou obstáculo na faixa de rodagem,1067,1044,1285,0.2308429118773947,13,21,25,0.19047619047619047,57,64,79,0.234375,1323,1226,1507,0.22920065252854815
,Colisão frontal,2834,2356,2484,0.05432937181663844,110,90,100,0.11111111111111116,326,314,361,0.14968152866242046,4271,3422,3655,0.06808883693746348
,Colisão lateral com outro veículo em movimento,6714,5852,6618,0.13089542036910462,63,50,78,0.56,298,281,293,0.04270462633451966,8460,7186,8132,0.13164486501530748
,Colisão traseira com outro veículo em movimento,4280,3465,3848,0.11053391053391048,37,29,25,-0.13793103448275867,151,122,127,0.040983606557376984,5699,4407,4946,0.12230542319037885
,Total,19518,16193,17722,0.09442351633421842,265,221,254,0.1493212669683257,1012,952,996,0.04621848739495804,25880,20591,22622,0.09863532611335057
Despiste,Despiste com capotamento,2060,1946,2177,0.11870503597122295,105,77,75,-0.025974025974025983,225,245,217,-0.11428571428571432,2554,2286,2535,0.1089238845144358
,Despiste com colisão com veículo imobil. ou obstáculo,1193,1240,1454,0.17258064516129035,31,30,44,0.46666666666666656,106,132,144,0.09090909090909083,1336,1333,1599,0.19954988747186797
,Despiste com dispositivo de retenção,570,422,454,0.07582938388625582,1,7,9,0.2857142857142858,21,26,27,0.03846153846153855,630,473,543,0.14799154334038045
,Despiste com fuga,101,109,98,-0.1009174311926605,0,0,1,-,19,5,4,-0.19999999999999996,111,120,116,-0.033333333333333326
,Despiste com transposição do dispositivo de retenção lateral,189,144,183,0.27083333333333326,13,20,11,-0.44999999999999996,18,20,33,0.6499999999999999,227,150,195,0.30000000000000004
,Despiste sem dispositivo de retenção,1892,1748,1857,0.06235697940503426,20,17,13,-0.23529411764705888,100,72,86,0.19444444444444442,1975,1840,1927,0.04728260869565215
,Despiste simples,6163,4984,5649,0.1334269662921348,119,93,106,0.13978494623655924,455,411,449,0.09245742092457432,6708,5224,5980,0.1447166921898928
,Total,12168,10593,11872,0.12074011139431695,289,244,259,0.061475409836065475,944,911,960,0.053787047200878124,13541,11426,12895,0.1285664274461753
Total,,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
