Quadro 5.10 Passageiros vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
AE,23,11,20,0.8181818181818181,67,40,55,0.375,1140,725,994,0.3710344827586207,1230,776,1069,0.37757731958762886
Arruamento,61,18,27,0.5,136,121,123,0.016528925619834656,5624,3866,4190,0.08380755302638376,5821,4005,4340,0.08364544319600498
EM,8,8,8,0,36,27,24,-0.11111111111111116,448,362,331,-0.08563535911602205,492,397,363,-0.08564231738035266
EN,35,34,32,-0.05882352941176472,111,115,157,0.3652173913043477,2374,1781,1993,0.11903425042111171,2520,1930,2182,0.13056994818652856
ER,3,0,2,-,6,20,8,-0.6,140,146,144,-0.013698630136986356,149,166,154,-0.07228915662650603
IC,6,4,8,1,24,14,22,0.5714285714285714,389,295,366,0.2406779661016949,419,313,396,0.26517571884984026
IP,5,3,5,0.6666666666666667,12,4,4,0,123,101,111,0.0990099009900991,140,108,120,0.11111111111111116
Outras vias*,4,5,5,0,26,23,21,-0.08695652173913049,429,441,444,0.006802721088435382,459,469,470,0.002132196162046851
Total,145,83,107,0.28915662650602414,418,364,414,0.13736263736263732,10667,7717,8573,0.11092393417131019,11230,8164,9094,0.11391474767270937
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
