Quadro 6.7 Condutores vítimas em Portugal por luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Dia,229,252,258,0.023809523809523725,916,1005,981,-0.023880597014925398,20632,18369,19923,0.08459905275191892,21777,19626,21162,0.07826352797309699
Noite,154,112,123,0.09821428571428581,536,431,469,0.08816705336426911,7055,5275,6203,0.17592417061611365,7745,5818,6795,0.16792712272258514
Aurora/Crepúsculo,20,14,23,0.6428571428571428,63,55,88,0.6000000000000001,1174,771,923,0.19714656290531773,1257,840,1034,0.23095238095238102
n.d.,0,0,0,-,0,0,0,-,15,4,0,-1,15,4,0,-1
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
