Quadro 1.4 Sinistralidade em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2020,2021,∆(%) 21/20,2019,2020,2021,∆(%) 21/20,2019,2020,2021,∆(%) 21/20,2019,2020,2021,∆(%) 21/20
Bom tempo,29835,26212,28438,0.08492293605981982,593,491,539,0.09775967413441955,2031,1921,2004,0.04320666319625199,35778,30471,33199,0.08952774769452931
Chuva,7055,4201,5587,0.3299214472744585,88,67,69,0.029850746268656803,313,221,278,0.25791855203619907,8682,5044,6610,0.3104678826328311
Nevoeiro,234,176,164,-0.06818181818181823,3,2,6,2,30,15,17,0.1333333333333333,302,215,206,-0.041860465116279055
Vento,30,21,33,0.5714285714285714,1,1,0,-1,3,2,2,0,29,25,36,0.43999999999999995
Neve,8,22,5,-0.7727272727272727,0,0,1,-,0,1,0,-1,14,26,6,-0.7692307692307692
Fumo,5,1,4,3,2,0,2,-,5,0,0,-,7,1,6,5
Granizo,31,10,4,-0.6,1,0,0,-,1,0,0,-,55,19,8,-0.5789473684210527
n.d.,53,48,41,-0.14583333333333337,0,0,1,-,0,1,1,0,67,52,43,-0.17307692307692313
Total,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
