Quadro 6.13 Condutores vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,2019,2021,2022
Automóvel ligeiro,191,174,177,0.01724137931034475,624,610,657,0.07704918032786878,17396,13504,15036,0.11344786729857814,18211,14288,15870,0.11072228443449039,1.048816649277909,1.217805151175812,1.11531190926276,3.4265004667508645,4.269316909294513,4.1398865784499055
Automóvel pesado,7,6,14,1.3333333333333335,29,22,17,-0.2272727272727273,273,247,263,0.06477732793522262,309,275,294,0.06909090909090909,2.26537216828479,2.1818181818181817,4.761904761904762,9.385113268608414,8,5.782312925170068
Ciclomotor,34,29,33,0.13793103448275867,153,123,127,0.03252032520325199,2198,1731,1671,-0.03466204506065862,2385,1883,1831,-0.027615507169410525,1.4255765199161425,1.540095592140202,1.8022938285090115,6.415094339622641,6.5321295804567185,6.936100491534681
Motociclo cilindrada <= 125cc,34,25,35,0.3999999999999999,206,231,217,-0.06060606060606055,3989,3796,4385,0.15516332982086412,4229,4052,4637,0.14437314906219156,0.8039725703476,0.6169792694965449,0.7547983610092733,4.871127926223694,5.700888450148074,4.679749838257495
Motociclo cilindrada > 125cc,84,81,99,0.22222222222222232,319,312,322,0.03205128205128216,2511,2316,2680,0.157167530224525,2914,2709,3101,0.14470284237726094,2.8826355525051475,2.990033222591362,3.1925185424056752,10.947151681537406,11.517165005537098,10.383747178329571
Velocípede,27,26,23,-0.11538461538461542,97,120,103,-0.14166666666666672,1644,1829,1597,-0.12684527063969386,1768,1975,1723,-0.1275949367088608,1.5271493212669685,1.3164556962025316,1.3348810214741729,5.486425339366516,6.075949367088608,5.977945443993035
Quadriciclo,11,11,3,-0.7272727272727273,36,24,29,0.20833333333333326,246,185,214,0.1567567567567567,293,220,246,0.11818181818181817,3.7542662116040955,5,1.2195121951219512,12.286689419795222,10.909090909090908,11.788617886178862
Triciclo,0,0,1,-,1,2,2,0,23,16,21,0.3125,24,18,24,0.33333333333333326,0,0,4.166666666666667,4.166666666666667,11.11111111111111,8.333333333333334
Veículo agrícola,14,17,10,-0.4117647058823529,22,20,21,0.050000000000000044,81,86,71,-0.17441860465116277,117,123,102,-0.1707317073170732,11.965811965811966,13.821138211382115,9.803921568627452,18.803418803418804,16.260162601626018,20.588235294117645
Outros*,1,9,9,1,28,27,43,0.5925925925925926,515,709,1111,0.5669957686882934,544,745,1163,0.5610738255033556,0.1838235294117647,1.2080536912751678,0.7738607050730868,5.147058823529411,3.6241610738255035,3.697334479793637
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125,1.308696499318049,1.4379184418746196,1.3935359249422232,4.919789569396635,5.671789409616555,5.305094684557276
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
