Quadro 1.5 Sinistralidade em Portugal por condições de luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Dia,26208,22890,24881,0.0869812145041502,406,366,379,0.03551912568306004,1434,1428,1453,0.017507002801120386,31690,26701,29130,0.09097037564136179
Noite,9463,6815,8223,0.20660308143800443,256,173,199,0.1502890173410405,843,645,715,0.10852713178294571,11350,7961,9581,0.20349202361512364
Aurora/Crepúsculo,1559,979,1172,0.19713993871297242,26,22,40,0.8181818181818181,105,88,134,0.5227272727272727,1867,1184,1403,0.18496621621621623
n.d.,21,7,0,-1,0,0,0,-,1,0,0,-,27,7,0,-1
Total,37251,30691,34276,0.11680948812355418,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
