Quadro 6.6 Condutores vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Bom tempo,343,332,359,0.08132530120481918,1315,1338,1347,0.006726457399103047,22978,20731,22365,0.07881915971250786,24636,22401,24071,0.0745502432927101
Chuva,58,43,38,-0.11627906976744184,174,138,176,0.2753623188405796,5605,3467,4485,0.2936256129218344,5837,3648,4699,0.28810307017543857
Nevoeiro,2,2,4,1,21,12,13,0.08333333333333326,196,142,139,-0.021126760563380254,219,156,156,0
Vento,0,1,0,-1,2,1,1,0,16,15,30,1,18,17,31,0.8235294117647058
Granizo,0,0,0,-,1,0,0,-,28,12,2,-0.8333333333333334,29,12,2,-0.8333333333333334
Neve,0,0,1,-,0,1,0,-1,7,20,4,-0.8,7,21,5,-0.7619047619047619
Fumo,0,0,1,-,2,0,0,-,5,1,3,2,7,1,4,3
n.d.,0,0,1,-,0,1,1,0,41,31,21,-0.32258064516129037,41,32,23,-0.28125
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
