Quadro 5.8 Passageiros vítimas em Portugal por natureza do acidente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Natureza,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Atropelamento,0,0,0,-,0,1,1,0,53,38,33,-0.13157894736842102,53,39,34,-0.1282051282051282
Colisão,58,36,40,0.11111111111111116,175,161,212,0.31677018633540377,7432,5236,5835,0.11440030557677616,7665,5433,6087,0.12037548315847602
Despiste,87,47,67,0.42553191489361697,243,202,201,-0.004950495049504955,3182,2443,2705,0.10724519033974622,3512,2692,2973,0.10438335809806842
Total,145,83,107,0.28915662650602414,418,364,414,0.13736263736263732,10667,7717,8573,0.11092393417131019,11230,8164,9094,0.11391474767270937
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
