Quadro 3.2 Vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo e peões,VM,,,,FG,,,,FL,,,,Total de vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,2019,2021,2022
Peões,140,100,107,0.07000000000000006,450,306,350,0.14379084967320255,5391,3717,4492,0.20850147968792032,5981,4123,4949,0.20033955857385388,2.340745694699883,2.425418384671356,2.162052939987876,7.5238254472496235,7.421780257094349,7.072135785007072
Veículo ligeiro,293,245,272,0.11020408163265305,981,902,1001,0.10975609756097571,26734,20108,22330,0.11050328227571127,28008,21255,23603,0.11046812514702431,1.0461296772350757,1.1526699600094095,1.1523958818794222,3.502570694087404,4.243707362973418,4.240986315298903
Veículo pesado,37,8,16,1,45,29,29,0,600,511,607,0.18786692759295498,682,548,652,0.1897810218978102,5.425219941348973,1.4598540145985401,2.4539877300613497,6.598240469208211,5.291970802919708,4.447852760736197
Ciclomotor,36,29,35,0.2068965517241379,158,128,132,0.03125,2391,1860,1781,-0.0424731182795699,2585,2017,1948,-0.03420922161626172,1.3926499032882012,1.4377788795240456,1.7967145790554415,6.112185686653771,6.346058502726821,6.776180698151951
Motociclo <= 125cc,37,28,35,0.25,215,251,235,-0.06374501992031878,4330,4098,4744,0.1576378721327476,4582,4377,5014,0.14553347041352516,0.8075076385857703,0.6397075622572538,0.6980454726765057,4.692274116106503,5.734521361663239,4.686876745113682
Motociclo > 125cc,90,85,105,0.23529411764705888,342,339,344,0.014749262536873253,2790,2582,2959,0.14601084430673894,3222,3006,3408,0.1337325349301397,2.793296089385475,2.8276779773785763,3.080985915492958,10.614525139664805,11.27744510978044,10.093896713615024
Velocípede,27,34,31,-0.08823529411764708,121,147,149,0.013605442176870763,2172,2568,2778,0.08177570093457942,2320,2749,2958,0.07602764641687876,1.1637931034482758,1.2368133866860678,1.0480054090601758,5.2155172413793105,5.347399054201528,5.037187288708587
Quadriciclo,12,14,4,-0.7142857142857143,40,29,33,0.13793103448275867,319,232,270,0.1637931034482758,371,275,307,0.11636363636363645,3.234501347708895,5.090909090909091,1.3029315960912053,10.78167115902965,10.545454545454545,10.749185667752444
Triciclo,0,0,1, - ,1,4,2,-0.5,45,21,31,0.4761904761904763,46,25,34,0.3600000000000001,0,0,2.941176470588235,2.1739130434782608,16,5.88235294117647
Veículo agrícola,15,17,11,-0.3529411764705882,25,23,24,0.04347826086956519,105,108,91,-0.15740740740740744,145,148,126,-0.14864864864864868,10.344827586206897,11.486486486486486,8.73015873015873,17.24137931034483,15.54054054054054,19.047619047619047
Outros*,1,1,1,1,5,3,3,0,57,48,31,-0.35416666666666663,63,52,35,-0.32692307692307687,1.5873015873015872,1.923076923076923,2.857142857142857,7.936507936507937,5.769230769230769,8.571428571428571
Total,688,561,618,0.10160427807486627,2383,2161,2302,0.06524757056918085,44934,35853,40114,0.11884640058014662,48005,38575,43034,0.11559300064808808,1.4331840433288199,1.4543097861309138,1.4360738021099597,4.964066243099677,5.602073882047958,5.349258725658782
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
