Quadro 6.12 Condutores vítimas em Portugal por situação da licença de condução,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Situação da Licença de Condução,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Caducada/ suspensa,4,2,2,0,6,8,10,0.25,117,87,100,0.14942528735632177,127,97,112,0.15463917525773185
Com licença/ carta adequada ao veiculo,337,312,338,0.08333333333333326,1256,1224,1291,0.054738562091503296,25913,21211,23670,0.11593041346471167,27506,22747,25299,0.11219061854310453
Com licença/ carta não adequada ao veiculo,11,11,11,0,30,39,22,-0.4358974358974359,174,152,155,0.019736842105263053,215,202,188,-0.06930693069306926
Em situação de instrução/exame,1,0,0,-,0,0,2,-,18,23,22,-0.04347826086956519,19,23,24,0.04347826086956519
Não necessária ao veiculo que conduz,27,34,31,-0.08823529411764708,118,144,142,-0.01388888888888884,2114,2492,2665,0.069422150882825,2259,2670,2838,0.06292134831460672
Sem licença/carta,16,17,18,0.05882352941176472,79,69,64,-0.07246376811594202,283,317,295,-0.06940063091482651,378,403,377,-0.06451612903225812
nd,7,2,4,1,26,7,7,0,257,137,142,0.03649635036496357,290,146,153,0.047945205479452024
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
