Quadro 6.3 Condutores vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21,2019,2021,2022,∆(%) 22/21
Jan,38,21,28,0.33333333333333326,90,60,109,0.8166666666666667,2198,1322,1799,0.3608169440242057,2326,1403,1936,0.3799002138275125
Fev,33,11,24,1.1818181818181817,86,52,106,1.0384615384615383,1910,954,1801,0.8878406708595388,2029,1017,1931,0.8987217305801376
Mar,28,18,28,0.5555555555555556,117,94,109,0.15957446808510634,2262,1494,1915,0.28179384203480584,2407,1606,2052,0.2777085927770859
Abr,28,19,22,0.1578947368421053,114,114,131,0.14912280701754388,2218,1819,2105,0.15722924683892248,2360,1952,2258,0.15676229508196715
Mai,36,45,49,0.0888888888888888,145,139,164,0.17985611510791366,2554,2263,2532,0.11886875828546173,2735,2447,2745,0.12178177360032683
Jun,31,34,38,0.11764705882352944,134,145,132,-0.08965517241379306,2363,2328,2354,0.011168384879725046,2528,2507,2524,0.006781013163143168
Jul,32,40,39,-0.025000000000000022,152,158,171,0.08227848101265822,2799,2475,2743,0.10828282828282831,2983,2673,2953,0.10475121586232694
Ago,46,47,49,0.042553191489361764,186,178,165,-0.0730337078651685,2723,2575,2654,0.030679611650485494,2955,2800,2868,0.024285714285714244
Set,39,38,36,-0.052631578947368474,134,163,146,-0.10429447852760731,2502,2358,2525,0.07082273112807469,2675,2559,2707,0.057835091832747265
Out,26,34,32,-0.05882352941176472,129,141,117,-0.17021276595744683,2724,2518,2419,-0.03931691818903893,2879,2693,2568,-0.04641663572224286
Nov,34,33,23,-0.303030303030303,113,118,95,-0.19491525423728817,2335,2156,2207,0.02365491651205942,2482,2307,2325,0.007802340702210753
Dez,32,38,36,-0.052631578947368474,115,129,93,-0.2790697674418605,2288,2157,1995,-0.07510431154381081,2435,2324,2124,-0.08605851979345958
Total,403,378,404,0.06878306878306883,1515,1491,1538,0.0315224681421864,28876,24419,27049,0.10770301814161098,30794,26288,28991,0.10282258064516125
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
