Quadro 4.4 Peões vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
2.ª feira,27,16,18,0.125,61,35,49,0.3999999999999999,813,737,700,-0.05020352781546811,901,788,767,-0.026649746192893398
3.ª feira,24,19,15,-0.21052631578947367,72,63,48,-0.23809523809523814,843,666,741,0.11261261261261257,939,748,804,0.07486631016042788
4.ª feira,13,8,15,0.875,62,58,56,-0.03448275862068961,867,759,761,0.0026350461133068936,942,825,832,0.00848484848484854
5.ª feira,20,12,16,0.33333333333333326,75,50,50,0,907,700,764,0.09142857142857141,1002,762,830,0.08923884514435687
6.ª feira,28,22,13,-0.40909090909090906,76,67,59,-0.11940298507462688,935,749,798,0.06542056074766345,1039,838,870,0.038186157517899666
Sábado,16,18,20,0.11111111111111116,63,43,54,0.2558139534883721,604,484,503,0.03925619834710736,683,545,577,0.05871559633027523
Domingo,12,12,12,0,41,34,34,0,422,397,381,-0.04030226700251893,475,443,427,-0.036117381489842004
Total,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
