Quadro 6.1 Condutores vítimas em Portugal por região NUTS I,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NUTS I,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Continente,383,381,412,0.08136482939632539,1391,1417,1644,0.1601976005645731,27754,25952,27778,0.0703606658446363,29528,27750,29834,0.07509909909909918
R.A. Açores,10,13,10,-0.23076923076923073,59,68,68,0,429,428,483,0.12850467289719636,498,509,561,0.10216110019646374
R.A. Madeira,10,10,6,-0.4,65,53,72,0.35849056603773577,693,669,763,0.14050822122571005,768,732,841,0.1489071038251366
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
