Quadro 2.1 Veículos intervenientes em acidentes com vítimas em Portugal por categoria e natureza do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Categoria veículo e natureza ,,Atropelamento ,,,,Colisão,,,,Despiste,,,,Total,,,
,,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Veículo Ligeiro,Passageiros ,3999,3342,3421,0.02363853979652908,26869,23300,24957,0.07111587982832623,6460,6244,6510,0.04260089686098656,37328,32886,34888,0.06087696892294603
,Mercadorias ,822,671,753,0.12220566318926984,5528,4691,5178,0.10381581752291624,1376,1182,1231,0.04145516074450084,7726,6544,7162,0.09443765281173588
,Outros ,35,30,40,0.33333333333333326,322,260,256,-0.01538461538461533,94,73,48,-0.34246575342465757,451,363,344,-0.052341597796143224
,n.d. ,108,94,103,0.0957446808510638,39,30,38,0.2666666666666666,13,6,6,0,160,130,147,0.13076923076923075
,Total ,4964,4137,4317,0.043509789702683044,32758,28281,30429,0.07595205261482985,7943,7505,7795,0.038640906062624936,45665,39923,42541,0.06557623425093295
Veículo Pesado ,Passageiros ,104,69,109,0.5797101449275361,364,359,353,-0.01671309192200554,26,27,31,0.14814814814814814,494,455,493,0.08351648351648344
,Mercadorias ,50,38,38,0,590,476,579,0.21638655462184864,131,113,102,-0.09734513274336287,771,627,719,0.14673046251993616
,Outros ,21,20,17,-0.15000000000000002,314,331,298,-0.09969788519637457,75,76,63,-0.17105263157894735,410,427,378,-0.11475409836065575
,n.d. ,3,0,1,-,1,2,1,-0.5,0,1,0,-1,4,3,2,-0.33333333333333337
,Total ,178,127,165,0.29921259842519676,1269,1168,1231,0.05393835616438358,232,217,196,-0.09677419354838712,1679,1512,1592,0.05291005291005302
Ciclomotor,,73,40,32,-0.19999999999999996,1399,1034,1011,-0.022243713733075432,1034,825,842,0.020606060606060517,2506,1899,1885,-0.007372301211163723
Motociclo cilindrada <= 125cc,,136,150,146,-0.026666666666666616,2694,2930,3450,0.1774744027303754,1621,1788,1924,0.07606263982102912,4451,4868,5520,0.133935907970419
Motociclo cilindrada > 125cc,,93,84,89,0.059523809523809534,1898,1971,2437,0.23642820903094885,1096,1232,1396,0.1331168831168832,3087,3287,3922,0.193185275327046
Velocípede,,139,155,149,-0.03870967741935483,1612,1986,2132,0.07351460221550865,680,933,1048,0.12325830653804926,2431,3074,3329,0.08295380611580994
Quadriciclo,,15,24,15,-0.375,125,132,119,-0.09848484848484851,207,155,143,-0.07741935483870965,347,311,277,-0.10932475884244375
Triciclo,,10,9,5,-0.4444444444444444,23,26,21,-0.1923076923076923,14,10,15,0.5,47,45,41,-0.0888888888888889
Veículo agrícola,,10,6,5,-0.16666666666666663,113,83,109,0.31325301204819267,93,89,81,-0.0898876404494382,216,178,195,0.09550561797752799
Outros*,,123,113,122,0.07964601769911495,193,202,245,0.21287128712871284,27,22,31,0.40909090909090917,343,337,398,0.18100890207715126
Total ,,5741,4845,5045,0.04127966976264186,42084,37813,41184,0.0891492343902891,12947,12776,13471,0.05439887288666245,60772,55434,59700,0.07695638056066678
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
