Quadro 6.15 Condutores vítimas em Portugal por sexo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sexo,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Feminino,37,31,32,0.032258064516129004,182,223,223,0,9279,8197,8877,0.08295717945589853,9498,8451,9132,0.08058217962371317
Masculino,365,373,395,0.05898123324396787,1329,1315,1561,0.1870722433460077,19582,18851,20143,0.06853747811787181,21276,20539,22099,0.07595306490092013
n.d.,1,0,1,-,4,0,0,-,15,1,4,3,20,1,5,4
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
