Quadro 3.4 Vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
<=14,14,12,11,-0.08333333333333337,91,78,75,-0.038461538461538436,2435,1984,2201,0.109375,2540,2074,2287,0.1027000964320155
15_19,24,25,34,0.3600000000000001,133,138,171,0.23913043478260865,3336,2893,3292,0.13791911510542687,3493,3056,3497,0.144306282722513
20_24,58,48,48,0,219,243,262,0.07818930041152261,5039,4508,4697,0.04192546583850931,5316,4799,5007,0.043342362992289996
25_29,46,50,48,-0.040000000000000036,218,212,236,0.1132075471698113,4156,3924,4217,0.07466870540265025,4420,4186,4501,0.0752508361204014
30_34,38,32,36,0.125,192,190,207,0.08947368421052637,3616,3288,3569,0.08546228710462289,3846,3510,3812,0.0860398860398861
35_39,47,39,41,0.05128205128205132,199,160,173,0.08125000000000004,3389,2976,3242,0.0893817204301075,3635,3175,3456,0.08850393700787396
40_44,42,43,44,0.023255813953488413,219,192,191,-0.00520833333333337,3718,3122,3151,0.009288917360666282,3979,3357,3386,0.008638665475126706
45_49,54,57,43,-0.24561403508771928,161,210,226,0.07619047619047614,3479,3306,3354,0.014519056261343088,3694,3573,3623,0.013993842709207893
50_54,37,43,59,0.37209302325581395,163,187,178,-0.048128342245989275,3148,2969,3120,0.05085887504210174,3348,3199,3357,0.04939043451078473
55_59,35,43,39,-0.09302325581395354,151,142,179,0.26056338028169024,3049,2691,2677,-0.005202526941657348,3235,2876,2895,0.006606397774687078
60_64,47,56,43,-0.2321428571428571,145,141,157,0.11347517730496448,2506,2225,2461,0.10606741573033718,2698,2422,2661,0.09867877786952928
65_69,60,37,51,0.3783783783783783,147,121,130,0.07438016528925617,1999,1878,2008,0.06922257720979763,2206,2036,2189,0.07514734774066789
70_74,59,49,28,-0.4285714285714286,122,107,103,-0.03738317757009346,1816,1584,1778,0.1224747474747474,1997,1740,1909,0.09712643678160915
>=75,125,84,117,0.3928571428571428,217,181,212,0.1712707182320441,3207,2761,3103,0.12386816370880105,3549,3026,3432,0.13417052214144087
n.d.,2,0,0,-,6,0,0,-,41,5,3,-0.4,49,5,3,-0.4
Total,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423,48005,43034,46015,0.06927080912766659
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
