Quadro 2.2 Veículos intervenientes em acidentes com vítimas em Portugal por categoria e idade do veículo,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,
,2019,2022,2023,2019,2022,2023,2019,2022,2023,2019,2022,2023,2019,2022,2023,2019,2022,2023,2019,2022,2023,2019,2022,2023
Veículo ligeiro ,7963,6081,5733,7072,7043,8075,9078,6714,6567,9960,7580,7945,7697,7643,8038,3408,4619,5927,487,243,256,45665,39923,42541
Veículo pesado ,325,384,401,342,325,348,423,283,294,322,261,297,169,168,131,74,84,107,24,7,14,1679,1512,1592
Ciclomotor,464,319,269,311,256,288,669,295,199,205,251,284,281,190,178,559,582,662,17,6,5,2506,1899,1885
Motociclo cilindrada <= 125cc ,2057,2155,2307,1211,1288,1548,500,714,834,229,234,269,232,196,185,206,269,362,16,12,15,4451,4868,5520
Motociclo cilindrada > 125cc ,1007,1093,1360,405,539,691,483,347,346,472,483,531,420,457,534,285,361,451,15,7,9,3087,3287,3922
Velocípede,207,377,450,57,50,45,11,23,26,14,3,3,3,17,9,5,7,4,2134,2597,2792,2431,3074,3329
Quadriciclo ,55,45,49,54,34,37,144,81,48,76,89,82,18,51,42,0,10,18,0,1,1,347,311,277
Triciclo ,22,9,11,10,23,13,8,6,11,3,5,2,2,0,2,1,2,1,1,0,1,47,45,41
Veículo agrícola ,55,48,68,20,10,23,20,19,15,35,17,20,22,22,15,60,61,53,4,1,1,216,178,195
Outros* ,48,28,30,8,9,6,2,4,4,3,0,4,3,4,3,2,4,4,277,288,347,343,337,398
Total ,12203,10539,10678,9490,9577,11074,11338,8486,8344,11319,8923,9437,8847,8748,9137,4600,5999,7589,2975,3162,3441,60772,55434,59700
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,
,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22,∆(%) 22/19,∆(%) 23/19,∆(%) 23/22
Veículo ligeiro ,-0.23634308677634053,-0.2800452090920508,-0.05722742969906269,-0.00410067873303166,0.14182692307692313,0.14652846798239394,-0.2604097818902842,-0.27660277594183746,-0.021894548704200156,-0.23895582329317266,-0.20230923694779113,0.04815303430079165,-0.007015720410549542,0.04430297518513715,0.051681276985476865,0.3553403755868545,0.739143192488263,0.28317817709460913,-0.5010266940451745,-0.47433264887063653,0.053497942386831365,-0.1257418153947224,-0.06841125588525132,0.06557623425093295
